POSITION_TITLE,RESUME_NUMBER,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWORDS,COMMUNITY SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,Language,Category
HR ADMINISTRATOR/MARKETING ASSOCIATE HR ADMINISTRATOR,16852973,"['focused on customer satisfaction', 'team management', 'marketing savvy', 'conflict resolution techniques', 'training and development', 'skilled multi-tasker', 'client relations specialist', 'accomplishments', 'missouri dot supervisor training certification', 'certified by ihg in customer loyalty and marketing by segment', 'hilton worldwide general manager training certification', 'accomplished trainer for cross server hospitality systems such as', 'hilton onq', 'micros', 'opera pms', 'fidelio', 'opera', 'reservation system (ors)', 'holidex', 'completed courses and seminars in customer service', 'sales strategies', 'inventory control', 'loss prevention', 'safety', 'time management', 'leadership and performance assessment']",1.0,2.0,Appliedcience,13,0,0,0,0,36.0,"['accounting', 'ads', 'advertising', 'analytical skills', 'benefits', 'billing', 'budgeting', 'clients', 'customer service', 'data analysis', 'delivery', 'documentation', 'employee relations', 'financial management', 'government relations', 'human resources', 'insurance', 'labor relations', 'layout', 'marketing', 'marketing collateral', 'medical billing', 'medical terminology', 'office', 'organizational', 'payroll', 'performance reviews', 'personnel', 'policies', 'posters', 'presentations', 'public relations', 'purchasing', 'reporting', 'statistics', 'website.']",1.0,HR
HR SPECIALIST US HR OPERATIONS,22323967,set(),3.0,3.0,Corporate Communication,6,0,0,0,0,40.0,"['adobe photoshop', 'adp', 'asset management', 'branding', 'brochures', 'content', 'customer care', 'final cut pro', 'graphics', 'graphic', 'hr', 'illustrator', 'indesign', 'innovation', 'inventory', 'lotus notes', 'marketing', 'marketing materials', 'marketing material', 'materials', 'microsoft office', 'sharepoint', 'newsletter', 'presentations', 'process improvement', 'project management', 'promotional materials', 'publications', 'quality', 'real-time', 'recruitment', 'reporting', 'rfp', 'sales', 'stories', 'employee development', 'video', 'web design', 'website', 'articles']",1.0,HR
HR DIRECTOR,33176873,set(),,3.0,,7,0,0,0,0,8.0,"['recruiting', 'fmla/eeo/flsa', 'hris development', 'benefit administration', 'policy development', 'web page development', 'accomplishments', 'kansas health institute -health outcomes for the state of kansas -1999']",1.0,HR
HR MANAGER,17812897,set(),2.0,3.0,Businessdministration,12,0,0,0,0,76.0,"['ada', 'adp', 'art', 'agency', 'benefits', 'benefits administration', 'coach', 'coaching', 'conflict resolution', 'continuous improvement', 'contracts', 'decision making', 'delivery', 'direction', 'employee relations', 'special events', 'financial', 'functional', 'hiring', 'hris', 'human resource management', 'human resource', 'human resources', 'hr', 'human relations', 'kronos', 'lawson', 'leadership', 'leadership development', 'law', 'legal compliance', 'director', 'managing', 'management reporting', 'mediation', 'access', 'excel', 'ms office', 'office', 'outlook', 'powerpoint', 'publisher', 'win', 'word', 'negotiating', 'negotiations', 'organizational development', 'organizational', 'payroll', 'peak', 'performance management', 'personnel', 'policies', 'problem solving', 'processes', 'profit', 'implement programs', 'project management', 'quality', 'quantitative analysis', 'recruitment', 'recruiting', 'reporting', 'safety', 'sound', 'staff development', 'staffing', 'strategy', 'strategic', 'structured', 'surveys', 'team- work', 'teamwork', 'visio', 'vision', 'workshops']",1.0,HR
HR GENERALIST,11592605,"['microsoft office proficiency', 'excel spreadsheets', 'meticulous attention to detail', 'results-oriented', 'self-directed', 'time management', 'professional and mature', 'self-starter', 'legal administrative support']",2.0,3.0,Business Administration,14,1,1,1,1,31.0,"['administrative', 'administrative assistant', 'bi', 'conferences', 'database', 'special events', 'filing', 'human resource management', 'hr', 'human resources management', 'excel', 'exchange', 'microsoft office', 'office', 'outlook', 'powerpoint', 'word', 'newsletter', 'paralegal', 'performance management', 'processes', 'publications', 'recruitment', 'strategic planning', 'supervisor', 'training programs', 'travel arrangements', 'visio', 'website', 'workshops', 'annual reports']",1.0,HR
HR MANAGER,25824789,"['university events/special programs', 'prepare agendas', 'fmla/ada/eeo/wc', 'mediation & advocacy', 'hris technologies\ttesol teacher for university staff', 'employee relations', 'web design using reddot and sharepoint', 'hr program/project management', 'microsoft office suites\torientation & on-boarding', 'training & development', 'performance management', 'organizational development', 'hr policies & procedures', 'publisher/indesign/quark', 'accomplishments', 'enjoy 5k runs/walks of note professional development complete ongoing training in the areas of compensation and benefits', 'employee and labor relations', 'leaves of absence', 'customer service', 'supervisory training', 'and workplace safety/security', 'created publications and advertisements for twu and thehra conferences', 'invited as guest speaker for staff development days on the twu houston campus and several affiliated conferences', 'developed online state mandated training for twu employees']",2.0,3.0,Science,14,0,0,0,0,38.0,"['ada', 'administrative skills', 'administrative', 'coaching', 'employee relations', 'training employees', 'english', 'special events', 'hiring', 'hris', 'human resources', 'hr', 'indesign', 'leadership development', 'director', 'managing', 'mediation', 'microsoft office suites', 'publisher', 'sharepoint', 'newsletters', 'organizational development', 'peoplesoft', 'performance management', 'policies', 'project management', 'quality', 'quark', 'managing the restaurant', 'safety', 'scheduling', 'spanish', 'supervision', 'teacher', 'teaching', 'training material', 'web design', 'workshops']",2.0,HR
HR MANAGER,15375009,set(),2.0,3.0,Business Management,0,0,0,0,0,20.0,"['administrative', 'adp', 'backup', 'benefits', 'bookkeeping', 'clarify', 'competitive', 'customer service', 'database', 'delivery', 'documentation', 'employee relations', 'filing', 'government', 'hr', 'human resources', 'human resource', 'insurance', 'job analysis', 'labor']",1.0,HR
HR SPECIALIST,11847784,set(),2.0,3.0,English Lit,19,0,0,0,0,19.0,"['management consultation', 'negotiation', 'outlook', 'e-recruitment', 'hr policies/procedures', 'provision of excellent customer service', 'micro-soft applications: word', 'excel', 'powerpoint', 'skills', 'problem-solve and serve as change agent to ensure that hr functions are included in organizational missions. negotiate budget revisions to include hr initiatives. ensure excellent customer service delivery', 'provide state/federal and soft-skills management/employee training. conduct job analyses', 'as well as conduct compensation/job market analysis', 'and deliver and measure leadership training. develop', 'implement', 'and monitor performance management. develop', 'implement', 'and monitor personnel policies and procedures', 'and manage full-cycle recruitment.']",1.0,HR
HR CLERK,32896934,"['new employee orientation', 'applicant tracking system', 'onboarding', 'payroll management includes timekeeper for kronos timekeeping system', 'compensation and benefits', 'performance management', 'workers compensation', 'general ledger accounting', 'database management', 'continuous improvement', 'six sigma', 'lean manufacturing', 'business strategy']",2.0,3.0,Business Administration,15,0,0,0,0,18.0,"['and mrp vacation calendar).', 'provides administrative support for continuous improvement program and safety programs.', '01/1983', 'to', '01/1999', 'executive secretary', 'company name', '－', 'city', 'state', 'provides bookkeeping and clerical support including monthly invoicing', 'correspondence', 'receiving visitors', 'arranging conference calls', 'and scheduling meetings.', 'provides support for human resource functional areas including tracking for workers compensation', 'developing employee handbook', 'and maintaining the material safety data sheets.']",1.0,HR
HR ASSISTANT,29149998,"['compensation knowledge', 'ms office suite', 'ar/ap proficiency', 'oracle knowledge', 'great communication']",,2.0,,10,1,1,1,1,45.0,"['accounting', 'adp', 'analytical skills', 'ap', 'ar', 'benefits', 'billing', 'call center', 'great communication skills', 'interpersonal skills', 'credit', 'clients', 'customer service', 'customer service skills', 'database', 'detail-oriented', 'employee relations', 'expense reports', 'filling', 'filing', 'hiring', 'human resource management', 'human resources', 'human resources 1', 'processing of invoices', 'leadership', 'ledger', 'logistics', 'mentor', 'ms office suite', 'office management', 'oracle', 'organizational development', 'payroll processing', 'peachtree', 'personnel', 'promotion', 'quickbooks', 'recruitment', 'scheduling', 'spreadsheets', 'spreadsheet', 'telephone', 'phone', 'website']",1.0,HR
